2023-04-09 00:02:22,868 INFO  [main] duds_the_kid_3756.issue_tracker_api.IssueTrackerApplication : Starting IssueTrackerApplication using Java 19 on --DWMA-- with PID 16908 (C:\Users\duds_the_kid_3756\Desktop\Code\issue_tracker_api\target\classes started by duds_the_kid_3756 in C:\Users\duds_the_kid_3756\Desktop\Code\issue_tracker_api)
2023-04-09 00:02:22,886 INFO  [main] duds_the_kid_3756.issue_tracker_api.IssueTrackerApplication : No active profile set, falling back to 1 default profile: "default"
2023-04-09 00:02:23,958 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-09 00:02:24,059 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 89 ms. Found 4 JPA repository interfaces.
2023-04-09 00:02:24,411 INFO  [main] org.springframework.cloud.context.scope.GenericScope : BeanFactory id=99f89734-2d46-3ad8-a2c3-be3dd07c24e0
2023-04-09 00:02:24,994 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http)
2023-04-09 00:02:25,006 INFO  [main] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2023-04-09 00:02:25,006 INFO  [main] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-04-09 00:02:25,176 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2023-04-09 00:02:25,177 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2223 ms
2023-04-09 00:02:25,405 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2023-04-09 00:02:25,571 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2023-04-09 00:02:26,879 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-04-09 00:02:27,782 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-04-09 00:02:28,516 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3314f179, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1abd1a28, org.springframework.security.web.context.SecurityContextPersistenceFilter@2119b989, org.springframework.security.web.header.HeaderWriterFilter@3f78a5ed, org.springframework.web.filter.CorsFilter@5478597, org.springframework.security.web.authentication.logout.LogoutFilter@4e481512, duds_the_kid_3756.issue_tracker_api.security.jwt.AuthTokenFilter@19de32cb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5d67bf4d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@31de8099, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@39a1e1e6, org.springframework.security.web.session.SessionManagementFilter@48f2d51d, org.springframework.security.web.access.ExceptionTranslationFilter@267b678f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@45a05350]
2023-04-09 00:02:29,281 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path ''
2023-04-09 00:02:29,388 INFO  [main] duds_the_kid_3756.issue_tracker_api.IssueTrackerApplication : Started IssueTrackerApplication in 7.314 seconds (JVM running for 7.82)
2023-04-09 00:04:07,732 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-04-09 00:04:07,739 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2023-04-09 00:04:07,750 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
